pdb_id,classification,method
7pk0,TRANSFERASE,X-RAY DIFFRACTION
1h6h,PX DOMAIN,X-RAY DIFFRACTION
5klu,ELECTRON TRANSPORT,X-RAY DIFFRACTION
4iq2,ISOMERASE,X-RAY DIFFRACTION
7wpg,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
5ang,TRANSFERASE,X-RAY DIFFRACTION
5ux2,LYASE,X-RAY DIFFRACTION
6d1d,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
6ph9,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
7nin,OXIDOREDUCTASE,X-RAY DIFFRACTION
5w8c,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
8cvd,OXIDOREDUCTASE,X-RAY DIFFRACTION
5bk9,OXIDOREDUCTASE,X-RAY DIFFRACTION
5c2i,OXIDOREDUCTASE,X-RAY DIFFRACTION
1zoa,OXIDOREDUCTASE,X-RAY DIFFRACTION
4euo,TRANSPORT PROTEIN,X-RAY DIFFRACTION
1pz4,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
5hrv,TRANSCRIPTION,X-RAY DIFFRACTION
1mmq,METALLOPROTEASE,X-RAY DIFFRACTION
4kpd,TRANSFERASE,X-RAY DIFFRACTION
2c1z,TRANSFERASE,X-RAY DIFFRACTION
6t6r,HYDROLASE,X-RAY DIFFRACTION
7p9a,OXIDOREDUCTASE,X-RAY DIFFRACTION
1ljo,UNKNOWN FUNCTION,X-RAY DIFFRACTION
4w93,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
2g50,TRANSFERASE,X-RAY DIFFRACTION
3ebl,HYDROLASE RECEPTOR,X-RAY DIFFRACTION
7pae,PROTEIN BINDING,X-RAY DIFFRACTION
4zbg,TRANSFERASE,X-RAY DIFFRACTION
7ysx,HYDROLASE,X-RAY DIFFRACTION
1znl,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5mha,OXIDOREDUCTASE,X-RAY DIFFRACTION
5j56,HYDROLASE/IMMUNE SYSTEM,X-RAY DIFFRACTION
6et4,OXIDOREDUCTASE,X-RAY DIFFRACTION
8b2p,OXIDOREDUCTASE,X-RAY DIFFRACTION
8jv1,TRANSPORT PROTEIN,X-RAY DIFFRACTION
5azc,TRANSFERASE,X-RAY DIFFRACTION
4hzm,hydrolase/hydrolase inhibitor,X-RAY DIFFRACTION
4wbk,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
1icm,BINDING PROTEIN(FATTY ACID),X-RAY DIFFRACTION
6d18,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
6zzs,OXIDOREDUCTASE,X-RAY DIFFRACTION
6yf2,ISOMERASE,X-RAY DIFFRACTION
1p6o,HYDROLASE,X-RAY DIFFRACTION
6b83,TOXIN,X-RAY DIFFRACTION
5eio,OXIDOREDUCTASE/BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
6up9,LYASE/LYASE INHIBITOR,X-RAY DIFFRACTION
3ws7,OXIDOREDUCTASE,X-RAY DIFFRACTION
6t4i,GENE REGULATION,X-RAY DIFFRACTION
5j8l,ISOMERASE,X-RAY DIFFRACTION
7vej,TRANSFERASE,X-RAY DIFFRACTION
6t5m,LYASE,X-RAY DIFFRACTION
3sty,HYDROLASE,X-RAY DIFFRACTION
3w69,LIGASE/LIGASE INHIBITOR,X-RAY DIFFRACTION
6uqx,HYDROLASE,X-RAY DIFFRACTION
3fat,MEMBRANE PROTEIN,X-RAY DIFFRACTION
7z4n,TRANSFERASE,X-RAY DIFFRACTION
2e9l,HYDROLASE,X-RAY DIFFRACTION
6ztu,RNA BINDING PROTEIN,X-RAY DIFFRACTION
6d16,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
2b3l,HYDROLASE,X-RAY DIFFRACTION
2hnx,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2h0y,HYDROLASE,X-RAY DIFFRACTION
4i4c,UNKNOWN FUNCTION,X-RAY DIFFRACTION
8fkb,OXIDOREDUCTASE/SUBSTRATE,X-RAY DIFFRACTION
3h09,HYDROLASE,X-RAY DIFFRACTION
3kfg,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6w08,TOXIN,X-RAY DIFFRACTION
2zfd,SIGNALING PROTEIN/TRANSFERASE,X-RAY DIFFRACTION
3zuo,IMMUNE SYSTEM,X-RAY DIFFRACTION
5jr3,TRANSFERASE,X-RAY DIFFRACTION
8jdg,OXIDOREDUCTASE,X-RAY DIFFRACTION
1hrn,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
4i35,HYDROLASE,X-RAY DIFFRACTION
3ov4,TRANSFERASE,X-RAY DIFFRACTION
8r5v,HYDROLASE,X-RAY DIFFRACTION
1jpn,SIGNALING PROTEIN,X-RAY DIFFRACTION
4qsf,HYDROLASE,X-RAY DIFFRACTION
5dwn,TRANSFERASE,X-RAY DIFFRACTION
1lrk,ISOMERASE,X-RAY DIFFRACTION
6edh,OXIDOREDUCTASE,X-RAY DIFFRACTION
5xn9,LIPID TRANSPORT,X-RAY DIFFRACTION
6yf3,ISOMERASE,X-RAY DIFFRACTION
1y9l,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6lyc,CELL ADHESION,X-RAY DIFFRACTION
5fpz,HYDROLASE,X-RAY DIFFRACTION
2has,GENE REGULATION,X-RAY DIFFRACTION
7dxz,CHAPERONE,X-RAY DIFFRACTION
2a7g,TRANSFERASE,X-RAY DIFFRACTION
5h63,TRANSFERASE,X-RAY DIFFRACTION
7ots,HYDROLASE,X-RAY DIFFRACTION
4doo,ISOMERASE,X-RAY DIFFRACTION
4xeq,TRANSPORT PROTEIN,X-RAY DIFFRACTION
7es1,TRANSFERASE,X-RAY DIFFRACTION
3bf8,HYDROLASE,X-RAY DIFFRACTION
4y9h,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2ifr,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
2yoo,OXIDOREDUCTASE,X-RAY DIFFRACTION
4uc1,MEMBRANE PROTEIN,X-RAY DIFFRACTION
4r88,HYDROLASE,X-RAY DIFFRACTION
1i2a,RIBOSOME,X-RAY DIFFRACTION
2wea,HYDROLASE,X-RAY DIFFRACTION
4lx9,TRANSFERASE,X-RAY DIFFRACTION
3ag6,LIGASE,X-RAY DIFFRACTION
6sbc,BIOSYNTHETIC PROTEIN,X-RAY DIFFRACTION
1h61,OXIDOREDUCTASE,X-RAY DIFFRACTION
2igi,HYDROLASE,X-RAY DIFFRACTION
5fnk,LYASE,X-RAY DIFFRACTION
5kpr,TRANSFERASE,X-RAY DIFFRACTION
1opb,RETINOL TRANSPORT,X-RAY DIFFRACTION
6wqb,TRANSFERASE,X-RAY DIFFRACTION
6t0f,OXIDOREDUCTASE,X-RAY DIFFRACTION
5c81,HYDROLASE,X-RAY DIFFRACTION
2fw0,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6m8a,TRANSFERASE/TRANSFERASE Inhibitor,X-RAY DIFFRACTION
2aog,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
4lls,TRANSFERASE,X-RAY DIFFRACTION
5qcu,HYDROLASE,X-RAY DIFFRACTION
3plz,TRANSCRIPTION/RECEPTOR/AGONIST,X-RAY DIFFRACTION
4q0a,GENE REGULATION,X-RAY DIFFRACTION
5o6h,TRANSFERASE,X-RAY DIFFRACTION
5xna,LIPID TRANSPORT,X-RAY DIFFRACTION
4q0k,HORMONE BINDING PROTEIN,X-RAY DIFFRACTION
8ie8,TRANSFERASE,X-RAY DIFFRACTION
8jdv,OXIDOREDUCTASE,X-RAY DIFFRACTION
1ylh,LYASE,X-RAY DIFFRACTION
6db2,OXIDOREDUCTASE,X-RAY DIFFRACTION
6mvm,TRANSCRIPTION,X-RAY DIFFRACTION
3mgd,TRANSFERASE,X-RAY DIFFRACTION
7c6p,GENE REGULATION,X-RAY DIFFRACTION
8jdq,OXIDOREDUCTASE,X-RAY DIFFRACTION
4qt3,ISOMERASE,X-RAY DIFFRACTION
6uqv,HYDROLASE,X-RAY DIFFRACTION
6toy,HYDROLASE,X-RAY DIFFRACTION
7mx4,"LIPID BINDING PROTEIN, IMMUNE SYSTEM",X-RAY DIFFRACTION
5tvi,PLANT PROTEIN,X-RAY DIFFRACTION
2h8z,OXIDOREDUCTASE,X-RAY DIFFRACTION
4xpl,TRANSFERASE,X-RAY DIFFRACTION
7dqm,ISOMERASE,X-RAY DIFFRACTION
1p0h,TRANSFERASE,X-RAY DIFFRACTION
1dgm,TRANSFERASE,X-RAY DIFFRACTION
3a68,OXIDOREDUCTASE,X-RAY DIFFRACTION
3kq0,SIGNALING PROTEIN,X-RAY DIFFRACTION
1k26,"STRUCTURAL GENOMICS, UNKNOWN FUNCTION",X-RAY DIFFRACTION
1hf6,HYDROLASE,X-RAY DIFFRACTION
3p41,TRANSFERASE,X-RAY DIFFRACTION
4tlg,TRANSPORT PROTEIN,X-RAY DIFFRACTION
3kro,TRANSFERASE,X-RAY DIFFRACTION
3w37,"HYDROLASE, CARBOHYDRATE",X-RAY DIFFRACTION
6vwr,OXIDOREDUCTASE,X-RAY DIFFRACTION
7wpu,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
8v33,TRANSFERASE,X-RAY DIFFRACTION
