pdb_id,classification,method
1xg3,LYASE,X-RAY DIFFRACTION
6j2m,ISOMERASE,X-RAY DIFFRACTION
6bld,OXIDOREDUCTASE,X-RAY DIFFRACTION
3kns,HYDROLASE,X-RAY DIFFRACTION
5v40,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
2eiy,TRANSFERASE,X-RAY DIFFRACTION
6gac,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5wke,IMMUNE SYSTEM,X-RAY DIFFRACTION
3oob,ISOMERASE,X-RAY DIFFRACTION
5d2k,LYASE,X-RAY DIFFRACTION
5owe,DNA BINDING PROTEIN,X-RAY DIFFRACTION
1i12,TRANSFERASE,X-RAY DIFFRACTION
6t4k,GENE REGULATION,X-RAY DIFFRACTION
3wa4,SIGNALING PROTEIN,X-RAY DIFFRACTION
7ptf,DNA BINDING PROTEIN,X-RAY DIFFRACTION
4do4,HYDROLASE/HYDROLASE INHIBITOR,X-RAY DIFFRACTION
3has,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6d1b,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
3aba,OXIDOREDUCTASE/ANTIBIOTIC,X-RAY DIFFRACTION
7m6c,"TOXIN, HYDROLASE",X-RAY DIFFRACTION
3zx3,HYDROLASE,X-RAY DIFFRACTION
4j74,LIGASE/ANTAGONIST,X-RAY DIFFRACTION
3noj,LYASE,X-RAY DIFFRACTION
4clz,LYASE,X-RAY DIFFRACTION
2wuu,TRANSFERASE,X-RAY DIFFRACTION
1iup,HYDROLASE,X-RAY DIFFRACTION
6nx9,HYDROLASE,X-RAY DIFFRACTION
5l2m,OXIDOREDUCTASE/OXIDOREDUCTASE INIHBITOR,X-RAY DIFFRACTION
3v0r,UNKNOWN FUNCTION,X-RAY DIFFRACTION
1q0m,OXIDOREDUCTASE,X-RAY DIFFRACTION
4kvr,OXIDOREDUCTASE,X-RAY DIFFRACTION
4qdc,OXIDOREDUCTASE,X-RAY DIFFRACTION
4xeg,HYDROLASE/DNA,X-RAY DIFFRACTION
5v3y,TRANSFERASE/TRANSFERASE INHIBITOR,X-RAY DIFFRACTION
6z69,HYDROLASE,X-RAY DIFFRACTION
9bzq,HYDROLASE,X-RAY DIFFRACTION
7es0,TRANSFERASE,X-RAY DIFFRACTION
3r3x,HYDROLASE,X-RAY DIFFRACTION
1qmg,OXIDOREDUCTASE,X-RAY DIFFRACTION
3v0q,TRANSFERASE,X-RAY DIFFRACTION
6ga1,MEMBRANE PROTEIN,X-RAY DIFFRACTION
4wwz,OXIDOREDUCTASE,X-RAY DIFFRACTION
7o25,METAL BINDING PROTEIN,X-RAY DIFFRACTION
2hgw,TRANSFERASE,X-RAY DIFFRACTION
4tkj,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
5a7r,HYDROLASE,X-RAY DIFFRACTION
2qo5,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6nxg,transferase/transferase inhibitor,X-RAY DIFFRACTION
1znk,TRANSPORT PROTEIN,X-RAY DIFFRACTION
4at2,OXIDOREDUCTASE,X-RAY DIFFRACTION
3bkr,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6zfg,PROTEIN BINDING,X-RAY DIFFRACTION
1dah,LIGASE,X-RAY DIFFRACTION
1x8v,OXIDOREDUCTASE,X-RAY DIFFRACTION
8pu1,ANTITOXIN,X-RAY DIFFRACTION
2apv,IMMUNE SYSTEM,X-RAY DIFFRACTION
7lcb,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
4izs,HYDROLASE,X-RAY DIFFRACTION
6f2e,OXIDOREDUCTASE,X-RAY DIFFRACTION
5ktp,TRANSFERASE,X-RAY DIFFRACTION
1mx3,TRANSCRIPTION REPRESSOR,X-RAY DIFFRACTION
5dic,Odorant-binding protein,X-RAY DIFFRACTION
3qp8,TRANSCRIPTION,X-RAY DIFFRACTION
3dje,OXIDOREDUCTASE,X-RAY DIFFRACTION
6d6b,signaling protein/agonist,X-RAY DIFFRACTION
6w9l,HORMONE,X-RAY DIFFRACTION
4nqm,TRANSCRIPTION/INHIBITOR,X-RAY DIFFRACTION
5gwt,OXIDOREDUCTASE,X-RAY DIFFRACTION
6m8c,TRANSFERASE,X-RAY DIFFRACTION
4bs4,TRANSFERASE,X-RAY DIFFRACTION
5m0e,HYDROLASE,X-RAY DIFFRACTION
3ff7,Cell adhesion/Immune system,X-RAY DIFFRACTION
4mi6,transferase/transferase inhibitor,X-RAY DIFFRACTION
1eo4,hydrolase/DNA,X-RAY DIFFRACTION
3fg1,OXIDOREDUCTASE,X-RAY DIFFRACTION
7u55,MEMBRANE PROTEIN,X-RAY DIFFRACTION
5wiu,SIGNALING PROTEIN/ANTAGONIST,X-RAY DIFFRACTION
6lki,SIGNALING PROTEIN/TRANSFERASE,X-RAY DIFFRACTION
1a28,PROGESTERONE RECEPTOR,X-RAY DIFFRACTION
6lam,IMMUNE SYSTEM,X-RAY DIFFRACTION
3vml,OXIDOREDUCTASE,X-RAY DIFFRACTION
5nub,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6ie9,TRANSCRIPTION,X-RAY DIFFRACTION
1o8v,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
2djl,OXIDOREDUCTASE,X-RAY DIFFRACTION
4av5,CELL ADHESION,X-RAY DIFFRACTION
4knn,LYASE/LYASE INHIBITOR,X-RAY DIFFRACTION
4xc1,IMMUNE SYSTEM,X-RAY DIFFRACTION
5wk7,OXIDOREDUCTASE,X-RAY DIFFRACTION
1uk8,HYDROLASE,X-RAY DIFFRACTION
5yic,HYDROLASE,X-RAY DIFFRACTION
7ayb,OXIDOREDUCTASE,X-RAY DIFFRACTION
6m8b,TRANSFERASE/TRANSFERASE Inhibitor,X-RAY DIFFRACTION
6d15,HYDROLASE/HYDROLASE inhibitor,X-RAY DIFFRACTION
7e7f,OXIDOREDUCTASE,X-RAY DIFFRACTION
6j5y,HYDROLASE,X-RAY DIFFRACTION
7my0,TRANSFERASE,X-RAY DIFFRACTION
8glh,IMMUNE SYSTEM,X-RAY DIFFRACTION
3vc1,TRANSFERASE,X-RAY DIFFRACTION
1uae,TRANSFERASE,X-RAY DIFFRACTION
4mi9,transferase/transferase inhibitor,X-RAY DIFFRACTION
7tae,DNA BINDING PROTEIN,X-RAY DIFFRACTION
5h9n,TRANSPORT PROTEIN,X-RAY DIFFRACTION
6yiq,TRANSFERASE,X-RAY DIFFRACTION
1lhu,TRANSPORT PROTEIN,X-RAY DIFFRACTION
4mfk,TRANSFERASE,X-RAY DIFFRACTION
6iky,HYDROLASE,X-RAY DIFFRACTION
3b2k,LIPID BINDING PROTEIN,X-RAY DIFFRACTION
6vta,TRANSFERASE,X-RAY DIFFRACTION
1nww,HYDROLASE,X-RAY DIFFRACTION
5hya,MEMBRANE PROTEIN,X-RAY DIFFRACTION
3gad,CYTOKINE,X-RAY DIFFRACTION
7vq9,TRANSFERASE,X-RAY DIFFRACTION
